Element,Family,Total_Concentration
Ag,Agaricaceae,3.0613
Ag,Amaranthaceae,0.08132
Ag,Amaryllidaceae,0.012885
Ag,Anacardiaceae,0.023365
Ag,Apiaceae,0.000913
Ag,Arecaceae,0.0055
Ag,Asteraceae,0.044057
Ag,Brassicaceae,0.100084
Ag,Caricaceae,0.01068
Ag,Convolvulaceae,0.048522
Ag,Cucurbitaceae,0.39267
Ag,Euphorbiaceae,0.0820186
Ag,Fabaceae,0.215708
Ag,Lauraceae,0.002423
Ag,Lecythidaceae,0.0022
Ag,Malvaceae,0.05505154
Ag,Moraceae,0.00618
Ag,Moringaceae,0.036789
Ag,Musaceae,0.005294
Ag,Myrtaceae,0.000222
Ag,Pedaliaceae,0.00175
Ag,Phyllanthaceae,0.00534
Ag,Poaceae,0.2639839
Ag,Rhamnaceae,0.006379999999999999
Ag,Rosaceae,0.00558
Ag,Rutaceae,0.000618
Ag,Solanaceae,0.055808
Ag,Theaceae,0.004874000000000001
Ag,Unknown,0.0955924
Ag,Zingiberaceae,0.0125
Al,Acanthaceae,2010.0
Al,Agaricaceae,4198.0
Al,Amaranthaceae,11258.82
Al,Amaryllidaceae,36.1
Al,Anacardiaceae,839.93
Al,Anisophylleaceae,713.0
Al,Annonaceae,6.5
Al,Apiaceae,1922.6
Al,Apocynaceae,3919.5
Al,Arecaceae,130.8
Al,Asteraceae,9627.869999999999
Al,Brassicaceae,11264.9
Al,Burseraceae,4.4
Al,Capparaceae,35.07
Al,Caricaceae,47.239999999999995
Al,Cistaceae,356.0
Al,Convolvulaceae,8831.161
Al,Cucurbitaceae,28836.78
Al,Dioscoreaceae,146.87
Al,Ephedraceae,80.3
Al,Euphorbiaceae,7943.4800000000005
Al,Fabaceae,16021.948
Al,Fagaceae,3.0
Al,Gnetaceae,50.0
Al,Hylocomiaceae,2820.0
Al,Lamiaceae,60005.7
Al,Lauraceae,273.5
Al,Lecythidaceae,25.8
Al,Loganiaceae,9.5
Al,Malvaceae,14330.0
Al,Melastomataceae,316.0
Al,Moraceae,210.0
Al,Moringaceae,7084.2
Al,Musaceae,31.63
Al,Myrtaceae,335.46
Al,Orchidaceae,11.2
Al,Oxalidaceae,139.0
Al,Papaveraceae,267.6
Al,Pedaliaceae,62.6
Al,Phyllanthaceae,44380.07
Al,Pinaceae,1239.2
Al,Piperaceae,10.4
Al,Poaceae,29192.937
Al,Polygonaceae,5.3
Al,Portulacaceae,4.47
Al,Proteaceae,34304.09
Al,Ranunculaceae,398.0
Al,Rhamnaceae,45.5
Al,Rosaceae,1536.8
Al,Rubiaceae,63570.0
Al,Rutaceae,10.6
Al,Sapindaceae,440.0
Al,Solanaceae,1646.83
Al,Symplocaceae,155300.0
Al,Theaceae,2732.0
Al,Unknown,61889.85
Al,Various,55916.454
Al,Zingiberaceae,17.6
Al,Zygophyllaceae,9.15
As,Agaricaceae,0.1466
As,Amaranthaceae,10.264299999999999
As,Amaryllidaceae,0.0051400000000000005
As,Anacardiaceae,0.05509
As,Annonaceae,4.62
As,Apiaceae,0.011
As,Apocynaceae,37.769999999999996
As,Arecaceae,3.78286
As,Asteraceae,13.468068
As,Brassicaceae,2.25328
As,Caricaceae,0.02136
As,Cladoniaceae,1.54
As,Convolvulaceae,13.148845
As,Cucurbitaceae,2.56333
As,Cyperaceae,9.39
As,Dioscoreaceae,0.01194
As,Ephedraceae,0.34
As,Ericaceae,510.0
As,Euphorbiaceae,1.28203
As,Fabaceae,44764.5994402
As,Hylocomiaceae,0.39
As,Lamiaceae,0.075
As,Lauraceae,0.01945
As,Lecythidaceae,0.00469
As,Malvaceae,7.109141
As,Moraceae,9.5016
As,Moringaceae,1.16982
As,Musaceae,0.006443
As,Myrtaceae,10.50314
As,Parmeliaceae,60.78
As,Pedaliaceae,0.0153
As,Peltigeraceae,0.48
As,Phyllanthaceae,0.0091
As,Poaceae,11097.88988576
As,Proteaceae,0.00195
As,Resedaceae,8.7
As,Rhamnaceae,0.00887
As,Rosaceae,0.0553
As,Rutaceae,0.00158
As,Solanaceae,0.09629
As,Stereocaulaceae,0.21
As,Teloschistaceae,1.0
As,Theaceae,5.22267
As,Umbilicariaceae,2.6799999999999997
As,Unknown,2.7751
As,Various,51.139
As,Verbenaceae,123.71
As,Zingiberaceae,0.00385
B,Agaricaceae,5.611
B,Amaranthaceae,180.35999999999999
B,Amaryllidaceae,23.7
B,Anacardiaceae,34.08
B,Apiaceae,359.23
B,Arecaceae,8.5
B,Asparagaceae,12.0
B,Asteraceae,682.76
B,Brassicaceae,156.41
B,Capparaceae,18.9
B,Cistaceae,22.0
B,Convolvulaceae,97.74
B,Cucurbitaceae,258.52
B,Dioscoreaceae,16.79
B,Ephedraceae,31.5
B,Euphorbiaceae,214.77800000000002
B,Fabaceae,463.61
B,Lamiaceae,587.21
B,Lauraceae,47.95
B,Lecythidaceae,44.0
B,Malvaceae,142.3
B,Moringaceae,169.01
B,Musaceae,7.55
B,Myrtaceae,61.41
B,Orchidaceae,22.92
B,Oxalidaceae,21.0
B,Papaveraceae,98.31
B,Pedaliaceae,9.42
B,Phyllanthaceae,13.3
B,Poaceae,194.16400000000002
B,Primulaceae,13.4
B,Proteaceae,6.88
B,Ranunculaceae,42.510000000000005
B,Rosaceae,89.4
B,Solanaceae,176.43
B,Unknown,61.56
B,Various,111.18
Ba,Agaricaceae,9.76
Ba,Amaranthaceae,1076.17
Ba,Amaryllidaceae,89.2
Ba,Anacardiaceae,249.75
Ba,Apiaceae,1051.61
Ba,Arecaceae,0.658
Ba,Asteraceae,674.3
Ba,Brassicaceae,2469.0
Ba,Capparaceae,10.57
Ba,Caricaceae,115.82
Ba,Convolvulaceae,846.3
Ba,Cucurbitaceae,3340.19
Ba,Dioscoreaceae,44.16
Ba,Euphorbiaceae,1751.8600000000001
Ba,Fabaceae,3691.396
Ba,Fagaceae,1.05
Ba,Lamiaceae,3916.9
Ba,Lauraceae,91.59
Ba,Lecythidaceae,821.5
Ba,Malvaceae,2495.8
Ba,Moraceae,46.0
Ba,Moringaceae,1139.35
Ba,Musaceae,81.61
Ba,Myrtaceae,6.74
Ba,Orchidaceae,12.5
Ba,Papaveraceae,118.0
Ba,Pedaliaceae,43.4
Ba,Phyllanthaceae,37.42
Ba,Plantaginaceae,107.0
Ba,Poaceae,948.6499
Ba,Portulacaceae,0.41
Ba,Proteaceae,1.02
Ba,Ranunculaceae,150.0
Ba,Rhamnaceae,39.29
Ba,Rosaceae,105.46999999999998
Ba,Rutaceae,50.8
Ba,Solanaceae,264.17
Ba,Theaceae,132.60000000000002
Ba,Unknown,1858.71
Ba,Various,794.05
Ba,Zingiberaceae,23.2
Ba,Zygophyllaceae,0.1
Be,Agaricaceae,0.031100000000000003
Be,Amaranthaceae,0.35192
Be,Amaryllidaceae,0.00699
Be,Anacardiaceae,0.025001
Be,Apiaceae,0.00432
Be,Arecaceae,0.00246
Be,Asteraceae,0.21323
Be,Brassicaceae,0.42638
Be,Caricaceae,0.00554
Be,Convolvulaceae,0.69877
Be,Cucurbitaceae,0.9825699999999999
Be,Dioscoreaceae,0.000587
Be,Euphorbiaceae,0.273102
Be,Fabaceae,0.476622
Be,Lamiaceae,1.54
Be,Lauraceae,0.0036580000000000002
Be,Lecythidaceae,0.00115
Be,Malvaceae,0.74728
Be,Moraceae,0.00666
Be,Moringaceae,0.25986
Be,Musaceae,0.00513
Be,Pedaliaceae,0.003
Be,Phyllanthaceae,0.009250000000000001
Be,Poaceae,0.583924
Be,Proteaceae,0.000377
Be,Rosaceae,0.025
Be,Rutaceae,0.00309
Be,Solanaceae,0.039222
Be,Theaceae,0.0373
Be,Unknown,1.25554
Bi,Agaricaceae,0.0031
Bi,Amaranthaceae,0.00801
Bi,Anacardiaceae,0.00048519
Bi,Apiaceae,46.24
Bi,Asteraceae,0.0108932
Bi,Brassicaceae,0.035026
Bi,Capparaceae,3.01
Bi,Caricaceae,0.0006454
Bi,Convolvulaceae,0.027841
Bi,Cucurbitaceae,0.02988297
Bi,Dioscoreaceae,0.00297
Bi,Ericaceae,77.0
Bi,Euphorbiaceae,0.026691
Bi,Fabaceae,170.94502549999999
Bi,Lamiaceae,5.73
Bi,Malvaceae,0.016485
Bi,Moraceae,0.0144
Bi,Moringaceae,0.03333
Bi,Musaceae,0.00037430000000000005
Bi,Orchidaceae,4.14
Bi,Papaveraceae,3.0
Bi,Phyllanthaceae,0.000221
Bi,Poaceae,71.21041389999999
Bi,Ranunculaceae,2.64
Bi,Rhamnaceae,0.001349
Bi,Rosaceae,0.00265
Bi,Rutaceae,0.000194
Bi,Solanaceae,34.104259
Bi,Theaceae,0.00296
Bi,Unknown,0.0981074
Bi,Various,0.2705
Bi,Zingiberaceae,0.000538
Br,Asteraceae,5.65
Br,Betulaceae,12.0
Br,Brassicaceae,0.14
Br,Cupressaceae,34.0
Br,Dennstaedtiaceae,353.0
Br,Fabaceae,726.5
Br,Fagaceae,16.5
Br,Hydnoraceae,6.45
Br,Malvaceae,33.0
Br,Pinaceae,46.2
Br,Piperaceae,1.52
Br,Plantaginaceae,8.899999999999999
Br,Poaceae,3124.39
Br,Rosaceae,3.3
Br,Rubiaceae,1.46
Br,Sapindaceae,66.0
Br,Solanaceae,41.4
Br,Tamaricaceae,16.4
Br,Unknown,52.0
Br,Various,1094.1
Br,Zygophyllaceae,1.45
Ca,Acanthaceae,112570.0
Ca,Achariaceae,761.0
Ca,Agaricaceae,34938.0
Ca,Amaranthaceae,262468.0
Ca,Amaryllidaceae,8360.0
Ca,Anacardiaceae,89913.0
Ca,Anisophylleaceae,116.0
Ca,Annonaceae,590.0
Ca,Apiaceae,183942.0
Ca,Apocynaceae,1917.3
Ca,Aquifoliaceae,55700.0
Ca,Araceae,9230.0
Ca,Araliaceae,157610.0
Ca,Arecaceae,6516.0
Ca,Asphodelaceae,8110.0
Ca,Asteraceae,318450.0
Ca,Athyriaceae,10200.0
Ca,Basellaceae,611.9
Ca,Bignoniaceae,14632.0
Ca,Brassicaceae,441082.0
Ca,Burseraceae,114.0
Ca,Capparaceae,8313.0
Ca,Caricaceae,24670.0
Ca,Caryophyllaceae,5237.0
Ca,Chrysobalanaceae,807.0
Ca,Cistaceae,19200.0
Ca,Clusiaceae,33228.0
Ca,Combretaceae,8110.0
Ca,Commelinaceae,14216.0
Ca,Convolvulaceae,120438.0
Ca,Cucurbitaceae,500220.6
Ca,Cunoniaceae,11000.0
Ca,Cyatheaceae,14700.0
Ca,Cyperaceae,10100.0
Ca,Dennstaedtiaceae,81.0
Ca,Dioscoreaceae,3064.0
Ca,Elaeagnaceae,16360.0
Ca,Elaeocarpaceae,6310.0
Ca,Ephedraceae,11192.0
Ca,Ericaceae,52900.0
Ca,Euphorbiaceae,215843.0
Ca,Fabaceae,1401440.94
Ca,Fagaceae,6804.0
Ca,Gleicheniaceae,8200.0
Ca,Hydnoraceae,3059.0
Ca,Lamiaceae,323169.0
Ca,Lauraceae,20313.0
Ca,Lecythidaceae,9730.0
Ca,Loganiaceae,390.0
Ca,Lythraceae,2194.0
Ca,Malvaceae,332107.6
Ca,Melastomataceae,1950.0
Ca,Meliaceae,7086.0
Ca,Moraceae,54877.0
Ca,Moringaceae,340940.0
Ca,Musaceae,8876.0
Ca,Myrtaceae,130427.0
Ca,Olacaceae,4429.0
Ca,Ophioglossaceae,21850.0
Ca,Orchidaceae,3006.0
Ca,Oxalidaceae,8900.0
Ca,Papaveraceae,24229.0
Ca,Passifloraceae,6006.0
Ca,Pedaliaceae,10700.0
Ca,Phyllanthaceae,27627.0
Ca,Pinaceae,76150.0
Ca,Piperaceae,2432.0
Ca,Plantaginaceae,2550.0
Ca,Poaceae,814801.92
Ca,Polygonaceae,1711.0
Ca,Primulaceae,92773.3
Ca,Proteaceae,17010.0
Ca,Ranunculaceae,11861.0
Ca,Rhamnaceae,4443.0
Ca,Rosaceae,32748.0
Ca,Rubiaceae,229850.0
Ca,Rutaceae,22272.0
Ca,Salicaceae,59300.0
Ca,Sapindaceae,163745.0
Ca,Sapotaceae,33720.0
Ca,Smilacaceae,8388.0
Ca,Solanaceae,129826.9
Ca,Symplocaceae,53900.0
Ca,Tamaricaceae,22925.0
Ca,Theaceae,9620.0
Ca,Unknown,598096.0
Ca,Urticaceae,13100.0
Ca,Various,551128.36
Ca,Violaceae,16600.0
Ca,Zingiberaceae,6563.0
Ca,Zygophyllaceae,2048.6
Cd,Acanthaceae,3759.38
Cd,Adoxaceae,0.48
Cd,Agaricaceae,2.2464
Cd,Alismataceae,3.04
Cd,Amaranthaceae,78.7636
Cd,Amaryllidaceae,34.39727
Cd,Amblystegiaceae,0.59
Cd,Anacardiaceae,0.13247
Cd,Annonaceae,17.84
Cd,Apiaceae,29.5986
Cd,Apocynaceae,86.04599999999999
Cd,Araceae,268.35
Cd,Arecaceae,0.0229
Cd,Aristolochiaceae,16.55
Cd,Asparagaceae,51.37
Cd,Asteraceae,125.64554
Cd,Balsaminaceae,26.85
Cd,Berberidaceae,11.21
Cd,Betulaceae,17.15
Cd,Brassicaceae,69.29164
Cd,Capparaceae,0.13
Cd,Caricaceae,0.006555
Cd,Cladoniaceae,0.5
Cd,Combretaceae,1.2870000000000001
Cd,Convolvulaceae,43.036046999999996
Cd,Cucurbitaceae,13.604009999999999
Cd,Cupressaceae,1.08
Cd,Cyperaceae,2.4
Cd,Dennstaedtiaceae,16.22
Cd,Dioscoreaceae,0.028380000000000002
Cd,Ephedraceae,0.089
Cd,Euphorbiaceae,0.34552
Cd,Fabaceae,50.1002456
Cd,Hylocomiaceae,0.166
Cd,Juglandaceae,1.37
Cd,Juncaceae,52.0
Cd,Lamiaceae,3.11
Cd,Lauraceae,62.8256
Cd,Lecythidaceae,0.00346
Cd,Lythraceae,0.015
Cd,Malvaceae,8.06530667
Cd,Moraceae,5.66254
Cd,Moringaceae,0.27614
Cd,Musaceae,0.007396
Cd,Myrtaceae,11.291156
Cd,Nitrariaceae,0.104
Cd,Oleaceae,2.19
Cd,Oxalidaceae,34.57
Cd,Papaveraceae,7.5
Cd,Parmeliaceae,4.2
Cd,Pedaliaceae,0.0298
Cd,Peltigeraceae,0.1
Cd,Phyllanthaceae,0.00921
Cd,Phytolaccaceae,36.629999999999995
Cd,Pinaceae,14.326
Cd,Plantaginaceae,108.15
Cd,Plumbaginaceae,32.2
Cd,Poaceae,263.83441077
Cd,Polygonaceae,29.13
Cd,Ranunculaceae,14.016000000000002
Cd,Resedaceae,1.3
Cd,Rhamnaceae,18.704989
Cd,Rosaceae,25.72403
Cd,Rutaceae,0.091282
Cd,Salicaceae,55.53
Cd,Salvadoraceae,0.013
Cd,Sapindaceae,0.77
Cd,Scrophulariaceae,4.39
Cd,Smilacaceae,16.02
Cd,Solanaceae,17.58677
Cd,Stereocaulaceae,0.07
Cd,Teloschistaceae,0.91
Cd,Theaceae,0.02442
Cd,Ulmaceae,0.88
Cd,Umbilicariaceae,0.97
Cd,Unknown,5.78426
Cd,Various,47.826
Cd,Verbenaceae,130.39999999999998
Cd,Violaceae,45.510000000000005
Cd,Vitaceae,10.17
Cd,Zingiberaceae,0.00532
Cd,Zygophyllaceae,7.107
Ce,Agaricaceae,6.526
Ce,Amaranthaceae,33.543
Ce,Amaryllidaceae,0.1353
Ce,Anacardiaceae,0.3991
Ce,Apiaceae,0.22
Ce,Arecaceae,0.0395
Ce,Asteraceae,48.84888
Ce,Blechnaceae,177.3
Ce,Brassicaceae,37.5885
Ce,Caricaceae,0.1611
Ce,Convolvulaceae,31.1434
Ce,Cucurbitaceae,114.2965
Ce,Cyperaceae,7007.0
Ce,Dioscoreaceae,0.07143
Ce,Ericaceae,2.8
Ce,Euphorbiaceae,20.03836
Ce,Fabaceae,38.97855
Ce,Gleicheniaceae,7774.5
Ce,Lauraceae,0.4175
Ce,Lecythidaceae,0.0696
Ce,Malvaceae,52.6362
Ce,Melastomataceae,200.0
Ce,Moraceae,0.373
Ce,Moringaceae,18.1129
Ce,Musaceae,0.05479
Ce,Myrtaceae,0.009260000000000001
Ce,Pedaliaceae,0.125
Ce,Phyllanthaceae,0.1074
Ce,Pinaceae,1.112
Ce,Poaceae,74.837805
Ce,Polypodiaceae,16.28
Ce,Proteaceae,0.00413
Ce,Pteridaceae,47.73
Ce,Rhamnaceae,0.1069
Ce,Rosaceae,5.28
Ce,Rutaceae,0.0331
Ce,Solanaceae,1.4783
Ce,Theaceae,1.5990000000000002
Ce,Thelypteridaceae,37.2
Ce,Unknown,181.8535
Ce,Various,69.837
Ce,Zingiberaceae,0.027
Cl,Acanthaceae,2.03
Cl,Asteraceae,41177.0
Cl,Betulaceae,3370.0
Cl,Cupressaceae,3790.0
Cl,Dennstaedtiaceae,36740.0
Cl,Fabaceae,10013.0
Cl,Fagaceae,2712.0
Cl,Pinaceae,5420.0
Cl,Poaceae,149275.0
Cl,Rosaceae,670.0
Cl,Sapindaceae,5790.0
Cl,Solanaceae,4571.0
Cl,Unknown,1160.0
Cl,Various,36656.0
Co,Agaricaceae,1.4889999999999999
Co,Amaranthaceae,9.844
Co,Amaryllidaceae,0.4165
Co,Anacardiaceae,0.36171000000000003
Co,Apiaceae,217.49620000000002
Co,Arecaceae,0.0253
Co,Asteraceae,121.7487
Co,Brassicaceae,13.3369
Co,Capparaceae,0.02
Co,Caricaceae,0.619
Co,Caryophyllaceae,13.200000000000001
Co,Clusiaceae,5.85
Co,Convolvulaceae,7.8311
Co,Cucurbitaceae,22.77
Co,Cunoniaceae,80.5
Co,Dioscoreaceae,0.6335
Co,Ephedraceae,0.17
Co,Euphorbiaceae,10.66236
Co,Fabaceae,25.9878
Co,Fagaceae,0.005
Co,Lamiaceae,15.440000000000001
Co,Lauraceae,0.2573
Co,Lecythidaceae,0.266
Co,Malvaceae,10.2279
Co,Moraceae,0.169
Co,Moringaceae,5.4071
Co,Musaceae,0.044090000000000004
Co,Myrtaceae,0.20489999999999997
Co,Papaveraceae,49.2
Co,Pedaliaceae,0.0804
Co,Phyllanthaceae,1779.8212
Co,Plantaginaceae,1.1600000000000001
Co,Poaceae,38.54571
Co,Portulacaceae,0.04
Co,Proteaceae,0.0291
Co,Rhamnaceae,0.0861
Co,Rosaceae,0.562
Co,Rutaceae,0.0355
Co,Salicaceae,920.11
Co,Sapindaceae,1140.0
Co,Sapotaceae,68.0
Co,Solanaceae,63.1648
Co,Theaceae,3.55
Co,Unknown,50.6126
Co,Various,14.109
Co,Violaceae,299.4
Co,Zingiberaceae,0.0962
Co,Zygophyllaceae,70.09
Cr,Agaricaceae,21.020000000000003
Cr,Amaranthaceae,37.028999999999996
Cr,Amaryllidaceae,2.5090000000000003
Cr,Anacardiaceae,18.273
Cr,Anisophylleaceae,483.4
Cr,Apiaceae,472.401
Cr,Apocynaceae,11.8
Cr,Arecaceae,1.5859999999999999
Cr,Asteraceae,5473.721
Cr,Bixaceae,10.0
Cr,Brassicaceae,62.15
Cr,Capparaceae,9.44
Cr,Caricaceae,5.489
Cr,Caryophyllaceae,10.2
Cr,Cistaceae,0.92
Cr,Cladoniaceae,9.6
Cr,Clusiaceae,8.7
Cr,Combretaceae,3.6100000000000003
Cr,Convolvulaceae,32.9961
Cr,Cucurbitaceae,117.699
Cr,Cunoniaceae,79.6
Cr,Cyperaceae,3.2
Cr,Dioscoreaceae,0.644
Cr,Elaeagnaceae,6.46
Cr,Ephedraceae,0.57
Cr,Euphorbiaceae,15.67206
Cr,Fabaceae,324.67004
Cr,Fagaceae,0.05
Cr,Hydnoraceae,1.98
Cr,Lamiaceae,116.98
Cr,Lauraceae,12.55
Cr,Lecythidaceae,0.0527
Cr,Lythraceae,0.57
Cr,Malvaceae,93.7124
Cr,Moraceae,1.81
Cr,Moringaceae,22.482
Cr,Musaceae,0.9705
Cr,Myrtaceae,7.234999999999999
Cr,Nitrariaceae,0.8
Cr,Orchidaceae,8.04
Cr,Oxalidaceae,0.79
Cr,Papaveraceae,19.65
Cr,Parmeliaceae,111.4
Cr,Pedaliaceae,1.33
Cr,Peltigeraceae,2.6
Cr,Phyllanthaceae,473.66
Cr,Piperaceae,7.5
Cr,Plantaginaceae,11.1
Cr,Poaceae,4035.13989
Cr,Portulacaceae,0.87
Cr,Proteaceae,5.202
Cr,Ranunculaceae,9.6
Cr,Rhamnaceae,3.933
Cr,Rosaceae,13532.353
Cr,Rubiaceae,466.55
Cr,Rutaceae,1.594
Cr,Salicaceae,174.25
Cr,Salvadoraceae,0.61
Cr,Sapotaceae,97.6
Cr,Solanaceae,100.0844
Cr,Stereocaulaceae,1.2
Cr,Tamaricaceae,7.32
Cr,Teloschistaceae,6.7
Cr,Theaceae,3.043
Cr,Umbilicariaceae,15.0
Cr,Unknown,193.50300000000001
Cr,Various,16771.985
Cr,Verbenaceae,401.1
Cr,Violaceae,471.7
Cr,Zingiberaceae,9.77
Cr,Zygophyllaceae,33.66
Cs,Agaricaceae,3.808
Cs,Amaranthaceae,1.7209
Cs,Amaryllidaceae,0.006
Cs,Anacardiaceae,0.42156
Cs,Apiaceae,0.0539
Cs,Arecaceae,0.0198
Cs,Asteraceae,2.106
Cs,Brassicaceae,2.13916
Cs,Caricaceae,0.07835
Cs,Convolvulaceae,2.73151
Cs,Cucurbitaceae,4387.67564
Cs,Dioscoreaceae,0.04896
Cs,Euphorbiaceae,2.74823
Cs,Fabaceae,1.977647
Cs,Lauraceae,0.04097
Cs,Lecythidaceae,0.819
Cs,Malvaceae,2.4487
Cs,Moraceae,0.0574
Cs,Moringaceae,0.55208
Cs,Musaceae,0.0141088
Cs,Myrtaceae,0.118
Cs,Pedaliaceae,0.00793
Cs,Phyllanthaceae,0.15994
Cs,Plantaginaceae,0.35
Cs,Poaceae,2.5994549
Cs,Proteaceae,0.255
Cs,Rhamnaceae,0.01744
Cs,Rosaceae,0.0517
Cs,Rutaceae,0.00185
Cs,Solanaceae,0.9594699999999999
Cs,Theaceae,0.0761
Cs,Unknown,2.96162
Cs,Various,22.687
Cs,Zingiberaceae,0.00756
Cu,Acanthaceae,2.05
Cu,Achariaceae,3.1
Cu,Agaricaceae,305.56
Cu,Amaranthaceae,907.79
Cu,Amaryllidaceae,370.46999999999997
Cu,Amblystegiaceae,6.01
Cu,Anacardiaceae,401.32
Cu,Anisophylleaceae,1.7
Cu,Annonaceae,25.6
Cu,Apiaceae,592.36
Cu,Apocynaceae,431.9
Cu,Araliaceae,89.0
Cu,Arecaceae,164.35
Cu,Asparagaceae,45.06
Cu,Asphodelaceae,3.6
Cu,Asteraceae,3202.8
Cu,Athyriaceae,39.33
Cu,Basellaceae,1.4
Cu,Berberidaceae,5.12
Cu,Betulaceae,10.883
Cu,Bignoniaceae,100.67
Cu,Bixaceae,7.4
Cu,Blechnaceae,152.0
Cu,Boraginaceae,43.33
Cu,Brassicaceae,420.66
Cu,Bromeliaceae,31.7
Cu,Burseraceae,1.7
Cu,Cactaceae,22.76
Cu,Cannabaceae,68.74000000000001
Cu,Capparaceae,9.52
Cu,Caricaceae,42.910000000000004
Cu,Caryophyllaceae,229.0
Cu,Cistaceae,19.7
Cu,Cladoniaceae,10.45
Cu,Clusiaceae,31.2
Cu,Combretaceae,62.589999999999996
Cu,Commelinaceae,338.2
Cu,Convolvulaceae,272.62
Cu,Cucurbitaceae,419.98
Cu,Cunoniaceae,47.9
Cu,Cupressaceae,8.66
Cu,Cyperaceae,257.55
Cu,Dennstaedtiaceae,15.6
Cu,Dioscoreaceae,19.56
Cu,Ebenaceae,8.16
Cu,Elaeagnaceae,98.56
Cu,Elaeocarpaceae,80.0
Cu,Ephedraceae,9.32
Cu,Equisetaceae,125.97
Cu,Ericaceae,3652.4
Cu,Euphorbiaceae,515.99
Cu,Fabaceae,5446.51
Cu,Fagaceae,73.84
Cu,Gentianaceae,1018.0
Cu,Hydnoraceae,9.79
Cu,Hylocomiaceae,4.57
Cu,Juglandaceae,25.74
Cu,Juncaceae,22.0
Cu,Lamiaceae,594.74
Cu,Lauraceae,208.9
Cu,Lecythidaceae,60.8
Cu,Lindsaeaceae,130.0
Cu,Loganiaceae,1.9000000000000001
Cu,Lythraceae,10.600000000000001
Cu,Malvaceae,490.17666667
Cu,Melastomataceae,3.0999999999999996
Cu,Meliaceae,26.439999999999998
Cu,Moraceae,50.6
Cu,Moringaceae,206.49
Cu,Musaceae,76.83
Cu,Myrtaceae,322.39
Cu,Nitrariaceae,5.6
Cu,Olacaceae,5.1
Cu,Oleaceae,93.44
Cu,Ophioglossaceae,10.3
Cu,Orchidaceae,2.82
Cu,Oxalidaceae,12.8
Cu,Papaveraceae,35.4
Cu,Parmeliaceae,80.22999999999999
Cu,Passifloraceae,47.6
Cu,Pedaliaceae,30.8
Cu,Peltigeraceae,3.36
Cu,Phyllanthaceae,259.96000000000004
Cu,Pinaceae,23.84
Cu,Piperaceae,3.9
Cu,Plantaginaceae,246.0
Cu,Plumbaginaceae,29.7
Cu,Poaceae,14443.10966666
Cu,Polygonaceae,60.78
Cu,Pontederiaceae,340.0
Cu,Primulaceae,74.6
Cu,Proteaceae,14.89
Cu,Ranunculaceae,28.5
Cu,Resedaceae,23.7
Cu,Rhamnaceae,43.370000000000005
Cu,Rosaceae,723.8
Cu,Rubiaceae,60.3
Cu,Rutaceae,227.98
Cu,Salicaceae,1381.685
Cu,Salvadoraceae,3.9
Cu,Santalaceae,25.3
Cu,Sapindaceae,383.04
Cu,Sapotaceae,93.6
Cu,Scrophulariaceae,36.35
Cu,Smilacaceae,25.6
Cu,Solanaceae,1365.59
Cu,Stereocaulaceae,1.83
Cu,Tamaricaceae,10.1
Cu,Teloschistaceae,1.93
Cu,Theaceae,40.2
Cu,Ulmaceae,7.95
Cu,Umbilicariaceae,26.03
Cu,Unknown,561.83
Cu,Various,1047.665
Cu,Verbenaceae,6191.1
Cu,Violaceae,83.2
Cu,Zingiberaceae,61.0
Cu,Zygophyllaceae,15.05
Dy,Agaricaceae,0.1077
Dy,Amaranthaceae,0.18630000000000002
Dy,Amaryllidaceae,0.00274
Dy,Anacardiaceae,0.015878999999999997
Dy,Arecaceae,0.00133
Dy,Asteraceae,0.964167
Dy,Brassicaceae,0.644182
Dy,Caricaceae,0.03916
Dy,Convolvulaceae,1.631661
Dy,Cucurbitaceae,1.7492
Dy,Dioscoreaceae,0.0019329999999999998
Dy,Euphorbiaceae,0.9586406000000001
Dy,Fabaceae,1.3890488
Dy,Malvaceae,2.5990510000000002
Dy,Moraceae,0.0517
Dy,Moringaceae,0.8049479
Dy,Musaceae,0.0016979999999999999
Dy,Myrtaceae,0.010279
Dy,Phyllanthaceae,0.003082
Dy,Poaceae,2.5882052
Dy,Proteaceae,0.000128
Dy,Rhamnaceae,0.0058200000000000005
Dy,Rosaceae,0.229
Dy,Rutaceae,0.00267
Dy,Solanaceae,0.050514
Dy,Theaceae,0.35409999999999997
Dy,Unknown,8.21655
Dy,Zingiberaceae,0.00174
Er,Agaricaceae,0.0327
Er,Amaranthaceae,0.10300000000000001
Er,Amaryllidaceae,0.00168
Er,Anacardiaceae,0.009544
Er,Arecaceae,0.001
Er,Asteraceae,0.35654240000000004
Er,Brassicaceae,0.31906
Er,Caricaceae,0.020868
Er,Convolvulaceae,0.8464263999999999
Er,Cucurbitaceae,1.02502
Er,Dioscoreaceae,0.000725
Er,Euphorbiaceae,0.527065
Er,Fabaceae,0.7419922
Er,Malvaceae,1.471598
Er,Moraceae,0.0212
Er,Moringaceae,0.422228
Er,Musaceae,0.0009
Er,Myrtaceae,0.005065999999999999
Er,Phyllanthaceae,0.0012339999999999999
Er,Poaceae,1.2532598
Er,Proteaceae,7.37e-05
Er,Rhamnaceae,0.00307
Er,Rosaceae,0.118
Er,Rutaceae,0.00124
Er,Solanaceae,0.031157
Er,Theaceae,0.2011
Er,Unknown,4.351655
